contrato_id,Contrato,Órgão,orgao_curto,Município,Situação,Empresa,Período,Valor do Contrato,valor_contrato,data_inicio_txt,data_fim_txt,ano_inicio,ano_fim,dias_duracao,dias_ate_fim,tipo_contrato,objeto,n_municipios_contrato,flag_multimunicipal,flag_teste,flag_valor_zero,flag_andamento_vencido,status_prazo
17,"AJ/OA/024/25 - Ponte sobre o Arroio Guarda-mor, na ERS-348.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Faxinal do Soturno,Andamento,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,26/02/2025 a 26/02/2027,"R$ 11.774.368,32",11774368.32,26/02/2025,26/02/2027,2025,2027,730,260,AJ/OA,"Ponte sobre o Arroio Guarda-mor, na ERS-348.",1,False,False,False,False,Vigente pela data
18,"AJ/OA/031/24 - Ponte sobre o Rio Caí, localizada na VRS-843, km 1+790, no município de Feliz/RS",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Feliz,Andamento,TRILHA ENGENHARIA LTDA,04/11/2024 a 30/10/2026,"R$ 14.110.976,17",14110976.17,04/11/2024,30/10/2026,2024,2026,725,141,AJ/OA,"Ponte sobre o Rio Caí, localizada na VRS-843, km 1+790, no município de Feliz/RS",1,False,False,False,False,Vigente pela data
19,"AJ/OA/032/24 - Ponte sobre o Rio Três Forquilhas, localizada na ERS-417, km 9+000.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Itati,Andamento,JB PARTICIPACOES SOCIETARIAS LTDA,12/11/2024 a 10/06/2026,"R$ 10.694.805,23",10694805.23,12/11/2024,10/06/2026,2024,2026,575,-1,AJ/OA,"Ponte sobre o Rio Três Forquilhas, localizada na ERS-417, km 9+000.",1,False,False,False,True,Encerrado pela data
20,"AJ/OA/033/24 - Rio Taquari, na ERS-431, Entr. BRS-470 (p/ Bento Gonçalves) – Santa Bárbara (São Valentim do Sul)",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Taquari,Andamento,VEREDA ENGENHARIA LTDA,04/11/2024 a 30/11/2026,"R$ 31.377.667,00",31377667.0,04/11/2024,30/11/2026,2024,2026,756,172,AJ/OA,"Rio Taquari, na ERS-431, Entr. BRS-470 (p/ Bento Gonçalves) – Santa Bárbara (São Valentim do Sul)",1,False,False,False,False,Vigente pela data
21,"AJ/OA/038/24 - Ponte sobre o Arroio Marcondes, localizada na RSC-471, km 83+510, no município de Sinimbu/RS",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Sinimbu,Andamento,JB PARTICIPACOES SOCIETARIAS LTDA,12/11/2024 a 12/11/2026,"R$ 8.170.592,26",8170592.26,12/11/2024,12/11/2026,2024,2026,730,154,AJ/OA,"Ponte sobre o Arroio Marcondes, localizada na RSC-471, km 83+510, no município de Sinimbu/RS",1,False,False,False,False,Vigente pela data
22,"AJ/OA/044/24 - Ponte sobre o Rio Soturno, localizada na ERS-348, km 35+300, Trecho: BRS-348 – Faxinal do Soturno",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Faxinal do Soturno,Andamento,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,04/02/2025 a 31/03/2027,"R$ 14.700.000,00",14700000.0,04/02/2025,31/03/2027,2025,2027,785,293,AJ/OA,"Ponte sobre o Rio Soturno, localizada na ERS-348, km 35+300, Trecho: BRS-348 – Faxinal do Soturno",1,False,False,False,False,Vigente pela data
23,"AJ/OA/045/25 - PONTE SOBRE O RIO IBICUI-MIRIM JUNTO A ERS-530, KM 103+930.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Dilermando de Aguiar,Andamento,LAVORO ENGENHARIA LTDA,23/06/2025 a 22/04/2027,"R$ 6.114.746,42",6114746.42,23/06/2025,22/04/2027,2025,2027,668,315,AJ/OA,"PONTE SOBRE O RIO IBICUI-MIRIM JUNTO A ERS-530, KM 103+930.",1,False,False,False,False,Vigente pela data
24,"AJ/OA/047/25 - PONTE SOBRE O ARROIO JACARÉ, JUNTO A ERS-433, KM 7+730, TRECHO ENTR. ERS-322 (p/ARVOREZINHA) – RELVADO,",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Arvorezinha,Andamento,SOCIEDADE GERAL DE EMPREITEIRAS (SOGEL),23/06/2025 a 22/04/2027,"R$ 7.448.872,97",7448872.97,23/06/2025,22/04/2027,2025,2027,668,315,AJ/OA,"PONTE SOBRE O ARROIO JACARÉ, JUNTO A ERS-433, KM 7+730, TRECHO ENTR. ERS-322 (p/ARVOREZINHA) – RELVADO,",1,False,False,False,False,Vigente pela data
25,"AJ/OA/048/24 - PONTE SOBRE O ARROIO NÃO SABIA, JUNTO A ERS-441, KM 22+734, VISTA ALEGRE DO PRATA - ENTR. ERS-355 (P/ FAGUNDES VARELA),",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Vista Alegre do Prata,Andamento,TRAÇADO CONSTRUÇÕES E SERVIÇOS LTDA,22/01/2025 a 22/01/2027,"R$ 17.355.305,62",17355305.62,22/01/2025,22/01/2027,2025,2027,730,225,AJ/OA,"PONTE SOBRE O ARROIO NÃO SABIA, JUNTO A ERS-441, KM 22+734, VISTA ALEGRE DO PRATA - ENTR. ERS-355 (P/ FAGUNDES VARELA),",1,False,False,False,False,Vigente pela data
26,"AJ/OA/049/24 - PONTE SOBRE O ARROIO CAPIVARI, JUNTO A ERS-507, KM 8+100, TRECHO ENTR. ERS-566 (p/MAÇAMBARÁ) – PONTE S/ ARROIO CAPIVARI",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Alegrete,Andamento,CONSTRUTORA ALEGRETENSE LTDA,04/02/2025 a 04/02/2027,"R$ 7.166.061,64",7166061.64,04/02/2025,04/02/2027,2025,2027,730,238,AJ/OA,"PONTE SOBRE O ARROIO CAPIVARI, JUNTO A ERS-507, KM 8+100, TRECHO ENTR. ERS-566 (p/MAÇAMBARÁ) – PONTE S/ ARROIO CAPIVARI",1,False,False,False,False,Vigente pela data
27,"AJ/OA/082/25 - Ponte sobre o Rio Taquari, junto a ERS-129/ERS-130, entre os Municípios de Estrela e Cruzeiro do Sul .",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Estrela,Andamento,CONSTRUTORA CIDADE LTDA,05/12/2025 a 05/12/2026,"R$ 288.579.514,47",288579514.47,05/12/2025,05/12/2026,2025,2026,365,177,AJ/OA,"Ponte sobre o Rio Taquari, junto a ERS-129/ERS-130, entre os Municípios de Estrela e Cruzeiro do Sul .",1,False,False,False,False,Vigente pela data
28,AJ/OA/088/25 - Rodovia ERS-344. no Município de Santo Ângelo e Ijuí.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Santo Ângelo,Andamento,LAVORO ENGENHARIA LTDA,11/12/2025 a 11/12/2026,"R$ 22.607.846,22",22607846.22,11/12/2025,11/12/2026,2025,2026,365,183,AJ/OA,Rodovia ERS-344. no Município de Santo Ângelo e Ijuí.,1,False,False,False,False,Vigente pela data
29,AJ/PE/008/22 - Elaboração de PFE para a rodovia ERS-550,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,São Borja,Concluída,ECOPLAN ENGENHARIA LTDA.,01/04/2022 a 11/07/2025,"R$ 1.052.480,22",1052480.22,01/04/2022,11/07/2025,2022,2025,1197,-335,AJ/PE,Elaboração de PFE para a rodovia ERS-550,1,False,False,False,False,Encerrado pela data
30,AJ/PE/010/22 - Elaboração de PFE de Pavimentação Asfáltica das rodovias ERS-265 e ERS-702,GOVRS - Governo do Estado do Rio Grande do Sul,GOVRS,"Canguçu, Piratini",Paralisado,ECOPLAN ENGENHARIA LTDA.,01/04/2022 a 01/07/2026,"R$ 1.545.692,30",1545692.3,01/04/2022,01/07/2026,2022,2026,1552,20,AJ/PE,Elaboração de PFE de Pavimentação Asfáltica das rodovias ERS-265 e ERS-702,2,True,False,False,False,Vigente pela data
31,AJ/PE/029/21 - Elaboração de Projeto Final de Engenharia (PFE) para adequação e implantação de melhorias de segurança viária na rodovia Rota do Sol.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Cambará do Sul, Terra de Areia",Paralisado,SD CONSULTORIA E ENGENHARIA LTDA,02/08/2021 a 05/09/2026,"R$ 577.447,70",577447.7,02/08/2021,05/09/2026,2021,2026,1860,86,AJ/PE,Elaboração de Projeto Final de Engenharia (PFE) para adequação e implantação de melhorias de segurança viária na rodovia Rota do Sol.,2,True,False,False,False,Vigente pela data
32,"AJ/PE/038/22 - Projeto Final de Engenharia de duplicação p/RSC-287,trecho 0210-Entr.ERS-509(Camobi)–Entr.BRS-158/392(A)(Santa Maria).",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Santa Maria,Paralisado,ENGEMIN - ENGENHARIA E GEOLOGIA LTDA,27/09/2022 a 29/06/2026,"R$ 1.548.021,27",1548021.27,27/09/2022,29/06/2026,2022,2026,1371,18,AJ/PE,"Projeto Final de Engenharia de duplicação p/RSC-287,trecho 0210-Entr.ERS-509(Camobi)–Entr.BRS-158/392(A)(Santa Maria).",1,False,False,False,False,Vigente pela data
33,AJ/PE/041/25 - PFE para a rodovia ERS-211 (211ERS0003 e 211ERS0007),DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Campinas do Sul, Ronda Alta",Andamento,ECOPLAN ENGENHARIA LTDA.,06/10/2025 a 01/10/2026,"R$ 1.061.213,23",1061213.23,06/10/2025,01/10/2026,2025,2026,360,112,AJ/PE,PFE para a rodovia ERS-211 (211ERS0003 e 211ERS0007),2,True,False,False,False,Vigente pela data
34,AJ/PE/043/21 - Elaboração de PFE para construção ponte sobre o Rio Vacacaí na rodovia ERS-149,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Restinga Seca,Concluída,SD CONSULTORIA E ENGENHARIA LTDA,01/02/2022 a 21/10/2025,"R$ 344.557,98",344557.98,01/02/2022,21/10/2025,2022,2025,1358,-233,AJ/PE,Elaboração de PFE para construção ponte sobre o Rio Vacacaí na rodovia ERS-149,1,False,False,False,False,Encerrado pela data
35,"AJ/PE/053/21 - Elaboração do projeto final de engenharia da rodovia ERS-422, no trecho entre Machadinho até São José do Ouro.",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Machadinho, São José do Ouro",Paralisado,ECOPLAN ENGENHARIA LTDA.,18/10/2021 a 08/06/2028,"R$ 1.262.230,61",1262230.61,18/10/2021,08/06/2028,2021,2028,2425,728,AJ/PE,"Elaboração do projeto final de engenharia da rodovia ERS-422, no trecho entre Machadinho até São José do Ouro.",2,True,False,False,False,Vigente pela data
36,"AJ/PE/053/22 - Projeto final de engenharia para a rodovia ERS-531 (531ERS0020), trecho: Jacuizinho - Tunas, com extensão estimada de 14,00km e projeto de interseções",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Jacuizinho, Tunas",Paralisado,ECOPLAN ENGENHARIA LTDA.,06/02/2023 a 13/06/2026,"R$ 961.087,82",961087.82,06/02/2023,13/06/2026,2023,2026,1223,2,AJ/PE,"Projeto final de engenharia para a rodovia ERS-531 (531ERS0020), trecho: Jacuizinho - Tunas, com extensão estimada de 14,00km e projeto de interseções",2,True,False,False,False,Vigente pela data
37,"AJ/PE/054/22 - Projeto final de engenharia de interseções e aumento de capacidade da rodovia ERS-324,entre os km 178 e 182 (Xangri-Lá, Boqueirão e Santa Maria).",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Passo Fundo,Paralisado,ECOPLAN ENGENHARIA LTDA.,06/02/2023 a 17/07/2026,"R$ 1.390.148,51",1390148.51,06/02/2023,17/07/2026,2023,2026,1257,36,AJ/PE,"Projeto final de engenharia de interseções e aumento de capacidade da rodovia ERS-324,entre os km 178 e 182 (Xangri-Lá, Boqueirão e Santa Maria).",1,False,False,False,False,Vigente pela data
38,AJ/PE/058/22 - projeto final de engenharia de obras de arte especial sobre o Rio Comandaí e sobre o Rio Lajeado Laranjeiras na rodovia BRS-392 AM 9110.,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Ubiretama,Andamento,Obra de Arte Engenharia LTDA,16/01/2023 a 06/07/2026,"R$ 183.326,40",183326.4,16/01/2023,06/07/2026,2023,2026,1267,25,AJ/PE,projeto final de engenharia de obras de arte especial sobre o Rio Comandaí e sobre o Rio Lajeado Laranjeiras na rodovia BRS-392 AM 9110.,1,False,False,False,False,Vigente pela data
39,AJ/PE/077/25 - PFE de OAE,DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,"Agudo, Dona Francisca",Andamento,FINGER ENGENHEIROS ASSOCIADOS LTDA.,14/10/2025 a 11/02/2026,"R$ 158.360,74",158360.74,14/10/2025,11/02/2026,2025,2026,120,-120,AJ/PE,PFE de OAE,2,True,False,False,True,Encerrado pela data
