contrato_id,Contrato,Órgão,orgao_curto,Situação,Empresa,Período,Valor do Contrato,valor_contrato,municipio_individual,municipio_norm,n_municipios_contrato,valor_rateado_municipio,valor_integral_envolvido,data_inicio_txt,data_fim_txt,ano_inicio,ano_fim,tipo_contrato,objeto,flag_multimunicipal,flag_teste,flag_valor_zero,flag_andamento_vencido,status_prazo
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Arroio do Padre,ARROIO DO PADRE,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Arroio Grande,ARROIO GRANDE,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Canguçu,CANGUCU,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Capão do Leão,CAPAO DO LEAO,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Cerrito,CERRITO,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Chuí,CHUI,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Herval,HERVAL,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Morro Redondo,MORRO REDONDO,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Pedro Osório,PEDRO OSORIO,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
16,"AJ/CV/001/26 - Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",DAER - Departamento Autônomo de Estradas de Rodagem do Rio Grande do Sul,DAER,Andamento,Encopav Engenharia Ltda,24/12/2025 a 24/12/2026,"R$ 15.089.267,64",15089267.64,Pelotas,PELOTAS,15,1005951.1760000001,15089267.64,24/12/2025,24/12/2026,2025,2026,AJ/CV,"Serviços emergenciais, nas faixas de domínio das rodovias estaduais pavimentadas, sob a jurisdição da 7ª Superintendência Regional do DAER/RS, sediada",True,False,False,False,Vigente pela data
